Retriever,Method,TREC DL Benchmark,,,,,,,,,BEIR Benchmark,,,,,,,,,,,,,
,,DL 2019,,,DL 2020,,,DL-HARD,,,SciFact,,Arguana,,COVID,,FiQA,,DBPed,,NEWS,, Avg. Score,
,,map@1000,ndcg@10,recall@1000,map@1000,ndcg@10,recall@1000,map@1000,ndcg@10,recall@1000,ndcg@10,recall@100,ndcg@10,recall@100,ndcg@10,recall@100,ndcg@10,recall@100,ndcg@10,recall@100,ndcg@10,recall@100,ndcg@10,recall@100
BM25,Original Query,0.3013,0.5058,0.7501,0.2856,0.4796,0.7863,0.1595,0.285,0.6806,0.6789,0.9253,0.2999,0.9324,0.5947,0.1091,0.2361,0.5395,0.318,0.4682,0.3952,0.4469,0.4215,0.6265
,      + RM3,0.3416,0.5216,0.8136,0.3006,0.4896,0.8236,0.1527,0.2509,0.7155,0.6457,0.9147,0.2865,0.9552,0.5927,0.1168,0.1916,0.4967,0.308,0.4594,0.4262,0.5189,0.4125,0.6460
,      + GenQR,0.2593,0.4334,0.786,0.2301,0.3857,0.774,0.1202,0.2006,0.6458,0.6919,0.9413,0.4339,0.9523,0.6523,0.1522,0.2041,0.5057,0.2876,0.4203,0.4295,0.558,0.4132,0.6373
,      + GenQREnsemble,0.2873,0.4512,0.7952,0.3037,0.4896,0.8164,0.1452,0.2429,0.721,0.7035,0.9476,0.4187,0.9566,0.678,0.1745,0.2075,0.5114,0.3464,0.4916,0.4367,0.6031,0.4416,0.6686
,      + QA-Expand ,0.3589,0.5553,0.7976,0.36,0.5654,0.8454,0.19,0.2892,0.7746,0.6857,0.9347,0.394,0.9324,0.6729,0.1569,0.2234,0.5488,0.3338,0.4669,0.434,0.5419,0.4615,0.6666
,      + Q2K,0.3959,0.5721,0.8431,0.3206,0.5404,0.8548,0.1841,0.3101,0.7432,0.6967,0.952,0.4052,0.9403,0.6945,0.1653,0.2453,0.5494,0.3477,0.4691,0.4503,0.5824,0.4736,0.6777
,      + Q2D (ZS),0.4053,0.6014,0.8467,0.3904,0.5685,0.8647,0.2069,0.3352,0.7763,0.7042,0.9443,0.4007,0.9353,0.7071,0.1628,0.246,0.5597,0.3836,0.5047,0.4507,0.5561,0.4886,0.6834
,      + Q2D (FS),0.4041,0.5884,0.8605,0.347,0.5428,0.8691,0.2103,0.3141,0.7724,0.7149,0.9443,0.3984,0.9353,0.7423,0.1668,0.243,0.5533,0.3859,0.4831,0.4778,0.5842,0.4897,0.6854
,      + Q2D (CoT),0.395,0.6074,0.8585,0.3675,0.5802,0.8684,0.1938,0.3044,0.7815,0.7096,0.9427,0.4011,0.936,0.6997,0.162,0.2405,0.5544,0.3669,0.4809,0.4349,0.5616,0.4827,0.6829
